InventoryId,Store,City,Brand,Description,Size,onHand,Price,endDate
1_HARDERSFIELD_4050,1,HARDERSFIELD,4050,Bacardi Oakheart Spiced Rum,750mL,12,10.99,2024-12-31
1_HARDERSFIELD_4053,1,HARDERSFIELD,4053,Bird Dog Strawberry Whiskey,750mL,4,12.99,2024-12-31
1_HARDERSFIELD_4054,1,HARDERSFIELD,4054,Patron XO Cafe Liqueur,375mL,11,12.99,2024-12-31
1_HARDERSFIELD_4062,1,HARDERSFIELD,4062,Goslings Dark'N Stormy RTD,250mL 4 Pk,9,8.99,2024-12-31
1_HARDERSFIELD_4064,1,HARDERSFIELD,4064,Calico Jack Pin/Coc Rum,1.75L,18,12.99,2024-12-31
1_HARDERSFIELD_4066,1,HARDERSFIELD,4066,Bacardi Oakheart Spiced Rum,1.75L,32,19.99,2024-12-31
1_HARDERSFIELD_4075,1,HARDERSFIELD,4075,Bacardi Pineapple Fusion,1.75L,3,19.99,2024-12-31
1_HARDERSFIELD_4089,1,HARDERSFIELD,4089,Capt Morgan White,1.75L,19,20.99,2024-12-31
1_HARDERSFIELD_4091,1,HARDERSFIELD,4091,Mount Gay Black Barrel Rum,750mL,6,27.99,2024-12-31
1_HARDERSFIELD_4092,1,HARDERSFIELD,4092,Bacardi Grapefruit Rum,750mL,7,9.99,2024-12-31
1_HARDERSFIELD_4102,1,HARDERSFIELD,4102,Bacardi Raspberry Rum,750mL,26,9.99,2024-12-31
1_HARDERSFIELD_4103,1,HARDERSFIELD,4103,Capt Morgan White,750mL,31,14.99,2024-12-31
1_HARDERSFIELD_4111,1,HARDERSFIELD,4111,Bird Dog Strawberry Whiskey,50mL,73,0.99,2024-12-31
1_HARDERSFIELD_4113,1,HARDERSFIELD,4113,Capt Morgan White,50mL,102,0.99,2024-12-31
1_HARDERSFIELD_4121,1,HARDERSFIELD,4121,Tall Ship Appledore Rum,750mL,7,27.99,2024-12-31
1_HARDERSFIELD_4124,1,HARDERSFIELD,4124,Blue Chair Bay Banana Cream,50mL,6,0.99,2024-12-31
1_HARDERSFIELD_4125,1,HARDERSFIELD,4125,Bird Dog Kentucky Whiskey,50mL,44,0.99,2024-12-31
1_HARDERSFIELD_4126,1,HARDERSFIELD,4126,Brinley Shipwreck Mango Rum,750mL,10,24.99,2024-12-31
1_HARDERSFIELD_4130,1,HARDERSFIELD,4130,Kraken Black Spiced Rum 94P,375mL,16,11.99,2024-12-31
1_HARDERSFIELD_4131,1,HARDERSFIELD,4131,Sea Hagg Blueberry Rum,750mL,7,27.99,2024-12-31
1_HARDERSFIELD_4135,1,HARDERSFIELD,4135,Smirnoff Blueberry Vodka,50mL,356,0.99,2024-12-31
1_HARDERSFIELD_4141,1,HARDERSFIELD,4141,Wild Turkey American Honey,50mL,52,0.99,2024-12-31
1_HARDERSFIELD_4145,1,HARDERSFIELD,4145,Don Q Cristal Rum,1.75L,16,16.99,2024-12-31
1_HARDERSFIELD_4149,1,HARDERSFIELD,4149,Sailor Jerry Spiced Navy Rum,50mL,188,1.49,2024-12-31
1_HARDERSFIELD_4152,1,HARDERSFIELD,4152,Jenkins Rum,750mL,15,4.99,2024-12-31
1_HARDERSFIELD_4153,1,HARDERSFIELD,4153,Jenkins Rum,1.75L,14,11.99,2024-12-31
1_HARDERSFIELD_4157,1,HARDERSFIELD,4157,Smirnoff Green Apple Vodka,50mL,305,0.99,2024-12-31
1_HARDERSFIELD_4174,1,HARDERSFIELD,4174,Kraken Black Spiced Rum 94P,1.75L,11,28.99,2024-12-31
1_HARDERSFIELD_4176,1,HARDERSFIELD,4176,Blackheart Spiced Rum,750mL,10,10.99,2024-12-31
1_HARDERSFIELD_4178,1,HARDERSFIELD,4178,Fabrizia Limoncello,375mL,42,9.99,2024-12-31
1_HARDERSFIELD_4179,1,HARDERSFIELD,4179,Bacardi Dragon Berry Rum,1.75L,15,19.99,2024-12-31
1_HARDERSFIELD_4181,1,HARDERSFIELD,4181,Calypso Spiced Rum,1.75L,9,10.99,2024-12-31
1_HARDERSFIELD_4187,1,HARDERSFIELD,4187,Kraken Black Spiced Rum 94P,750mL,10,20.99,2024-12-31
1_HARDERSFIELD_4192,1,HARDERSFIELD,4192,Havana Club Anejo Blanco Rum,750mL,6,16.99,2024-12-31
1_HARDERSFIELD_4194,1,HARDERSFIELD,4194,Calico Jack Coconut Rum,1.75L,20,12.99,2024-12-31
1_HARDERSFIELD_4195,1,HARDERSFIELD,4195,Calico Jack Spiced Rum No 94,750mL,13,10.99,2024-12-31
1_HARDERSFIELD_4196,1,HARDERSFIELD,4196,Bacardi Dragon Berry Rum,750mL,18,9.99,2024-12-31
1_HARDERSFIELD_4197,1,HARDERSFIELD,4197,Sailor Jerry Spiced Rum Trav,750mL,18,18.99,2024-12-31
1_HARDERSFIELD_4198,1,HARDERSFIELD,4198,Sailor Jerry Spiced Navy Rum,1.75L,78,24.99,2024-12-31
1_HARDERSFIELD_4199,1,HARDERSFIELD,4199,Sauza Blanco Tequila,1.75L,41,21.99,2024-12-31
1_HARDERSFIELD_4201,1,HARDERSFIELD,4201,Calico Jack Silver Rum,1.75L,22,12.99,2024-12-31
1_HARDERSFIELD_4204,1,HARDERSFIELD,4204,Bacardi Coco Rum,750mL,22,9.99,2024-12-31
1_HARDERSFIELD_4211,1,HARDERSFIELD,4211,Cruzan Passion Fruit Rum,750mL,9,9.99,2024-12-31
1_HARDERSFIELD_4216,1,HARDERSFIELD,4216,Havana Club Anejo Clsco Gold,750mL,7,18.99,2024-12-31
1_HARDERSFIELD_4218,1,HARDERSFIELD,4218,Sailor Jerry Spiced Navy Rum,750mL,52,16.99,2024-12-31
1_HARDERSFIELD_4222,1,HARDERSFIELD,4222,Bacardi Gold Rum,750mL,14,9.99,2024-12-31
1_HARDERSFIELD_4223,1,HARDERSFIELD,4223,Bacardi Gold Rum,1.75L,37,19.99,2024-12-31
1_HARDERSFIELD_4224,1,HARDERSFIELD,4224,Goslings Black Seal Rum 80,750mL,18,15.99,2024-12-31
1_HARDERSFIELD_4225,1,HARDERSFIELD,4225,Goslings Black Seal Rum 80,1.75L,145,25.99,2024-12-31
1_HARDERSFIELD_4226,1,HARDERSFIELD,4226,Bacardi Superior Rum Trav,750mL,42,9.99,2024-12-31
1_HARDERSFIELD_4228,1,HARDERSFIELD,4228,Bacardi 8,750mL,3,19.99,2024-12-31
1_HARDERSFIELD_4229,1,HARDERSFIELD,4229,Bacardi Black,1.75L,16,19.99,2024-12-31
1_HARDERSFIELD_4233,1,HARDERSFIELD,4233,Castillo Silver Label Rum,1.75L,28,10.99,2024-12-31
1_HARDERSFIELD_4234,1,HARDERSFIELD,4234,Bacardi Pineapple Fusion,750mL,27,9.99,2024-12-31
1_HARDERSFIELD_4235,1,HARDERSFIELD,4235,Sailor Jerry Spiced Rum,375mL,0,9.99,2024-12-31
1_HARDERSFIELD_4237,1,HARDERSFIELD,4237,Havana Club Anejo Blanco Rum,50mL,136,0.99,2024-12-31
1_HARDERSFIELD_4239,1,HARDERSFIELD,4239,Pampero Ron Anejo Aniversari,750mL,10,21.99,2024-12-31
1_HARDERSFIELD_4241,1,HARDERSFIELD,4241,Capt Morgan Spiced Rum,50mL,67,1.99,2024-12-31
1_HARDERSFIELD_4243,1,HARDERSFIELD,4243,Bacardi Superior Rum,1.75L,141,19.99,2024-12-31
1_HARDERSFIELD_4244,1,HARDERSFIELD,4244,Castillo Gold Rum,1.75L,1,9.99,2024-12-31
1_HARDERSFIELD_4245,1,HARDERSFIELD,4245,Bacardi Superior Rum,750mL,29,9.99,2024-12-31
1_HARDERSFIELD_4246,1,HARDERSFIELD,4246,Bacardi Superior Rum,375mL,26,5.49,2024-12-31
1_HARDERSFIELD_4247,1,HARDERSFIELD,4247,Bacardi Limon Rum,750mL,41,9.99,2024-12-31
1_HARDERSFIELD_4249,1,HARDERSFIELD,4249,Capt Morgan White Coconut,750mL,14,14.99,2024-12-31
1_HARDERSFIELD_4250,1,HARDERSFIELD,4250,Zaya Grand Reserva Rum,750mL,8,34.99,2024-12-31
1_HARDERSFIELD_4251,1,HARDERSFIELD,4251,Havana Club Anejo Clsco Gold,50mL,6,0.99,2024-12-31
1_HARDERSFIELD_4254,1,HARDERSFIELD,4254,Remy Martin 1738 Accord Royl,375mL,20,24.99,2024-12-31
1_HARDERSFIELD_4256,1,HARDERSFIELD,4256,English Harbour Rum,750mL,9,24.99,2024-12-31
1_HARDERSFIELD_4257,1,HARDERSFIELD,4257,Bacardi Grapefruit Rum,50mL,3,0.99,2024-12-31
1_HARDERSFIELD_4258,1,HARDERSFIELD,4258,Bacardi Mango Fusion,750mL,17,9.99,2024-12-31
1_HARDERSFIELD_4261,1,HARDERSFIELD,4261,Capt Morgan Spiced Rum,1.75L,147,20.99,2024-12-31
1_HARDERSFIELD_4262,1,HARDERSFIELD,4262,Capt Morgan Spiced Rum,750mL,46,14.99,2024-12-31
1_HARDERSFIELD_4264,1,HARDERSFIELD,4264,Capt Morgan Spiced Rum Trav,750mL,53,16.99,2024-12-31
1_HARDERSFIELD_4265,1,HARDERSFIELD,4265,Capt Morgan Spiced Rum,375mL,20,10.99,2024-12-31
1_HARDERSFIELD_4267,1,HARDERSFIELD,4267,Bacardi Limon Rum,1.75L,17,19.99,2024-12-31
1_HARDERSFIELD_4268,1,HARDERSFIELD,4268,Capt Morgan Private Stock,750mL,58,22.99,2024-12-31
1_HARDERSFIELD_4269,1,HARDERSFIELD,4269,Calico Jack Spiced Rum,1.75L,19,11.99,2024-12-31
1_HARDERSFIELD_4270,1,HARDERSFIELD,4270,Brugal Anejo Rum,750mL,7,16.99,2024-12-31
1_HARDERSFIELD_4272,1,HARDERSFIELD,4272,Smith & Cross Jamacian Rum,750mL,5,27.99,2024-12-31
1_HARDERSFIELD_4274,1,HARDERSFIELD,4274,Dictador 12 Yr Rum,750mL,12,29.99,2024-12-31
1_HARDERSFIELD_4276,1,HARDERSFIELD,4276,Goslings Gold Seal Rum,1.75L,7,21.99,2024-12-31
1_HARDERSFIELD_4277,1,HARDERSFIELD,4277,Bacardi Limon Rum,375mL,24,3.99,2024-12-31
1_HARDERSFIELD_4278,1,HARDERSFIELD,4278,Capt Morgan Parrot Bay Cocnt,750mL,12,11.99,2024-12-31
1_HARDERSFIELD_4280,1,HARDERSFIELD,4280,Capt Morgan Parrot Bay Coco,1.75L,13,23.99,2024-12-31
1_HARDERSFIELD_4282,1,HARDERSFIELD,4282,Capt Morgan White Pineapple,750mL,19,14.99,2024-12-31
1_HARDERSFIELD_4283,1,HARDERSFIELD,4283,Hochstadter's Slow and Low,750mL,7,21.99,2024-12-31
1_HARDERSFIELD_4291,1,HARDERSFIELD,4291,Ronrico Gold,1.75L,30,12.99,2024-12-31
1_HARDERSFIELD_4294,1,HARDERSFIELD,4294,Goslings Black Seal 151,750mL,26,15.99,2024-12-31
1_HARDERSFIELD_4296,1,HARDERSFIELD,4296,Ronrico Silver Rum,1.75L,31,12.99,2024-12-31
1_HARDERSFIELD_4298,1,HARDERSFIELD,4298,Bacardi Raspberry Rum,50mL,10,0.99,2024-12-31
1_HARDERSFIELD_4299,1,HARDERSFIELD,4299,Capt Morgan White Grapefruit,750mL,17,14.99,2024-12-31
1_HARDERSFIELD_4303,1,HARDERSFIELD,4303,Calico Jack Spiced Rum,750mL,18,7.99,2024-12-31
1_HARDERSFIELD_4313,1,HARDERSFIELD,4313,Sauza Blue Silver Tequila,1.75L,22,26.99,2024-12-31
1_HARDERSFIELD_4315,1,HARDERSFIELD,4315,Rumson's Spiced Rum,750mL,3,29.99,2024-12-31
1_HARDERSFIELD_4317,1,HARDERSFIELD,4317,Pyrat XO Reserve Rum,750mL,4,32.99,2024-12-31
1_HARDERSFIELD_4320,1,HARDERSFIELD,4320,D'Usse VSOP Cognac,750mL,5,48.99,2024-12-31
1_HARDERSFIELD_4327,1,HARDERSFIELD,4327,Capt Morgan Spiced Rum 100,750mL,16,19.99,2024-12-31
1_HARDERSFIELD_4330,1,HARDERSFIELD,4330,Capt Morgan Spiced Rum 100,1.75L,44,26.99,2024-12-31
1_HARDERSFIELD_4334,1,HARDERSFIELD,4334,Casa Noble Blanco Crystal,750mL,5,34.99,2024-12-31
1_HARDERSFIELD_4340,1,HARDERSFIELD,4340,Cruzan Black Strap Rum,750mL,18,9.99,2024-12-31
1_HARDERSFIELD_4343,1,HARDERSFIELD,4343,Cruzan Blueberry Lemonade,750mL,46,9.99,2024-12-31
1_HARDERSFIELD_4344,1,HARDERSFIELD,4344,Calypso Silver Rum,1.75L,8,10.99,2024-12-31
1_HARDERSFIELD_4345,1,HARDERSFIELD,4345,Capt Morgan Tattoo Rum,750mL,5,19.99,2024-12-31
1_HARDERSFIELD_4346,1,HARDERSFIELD,4346,Mr Boston Dark Rum,1.75L,26,9.99,2024-12-31
1_HARDERSFIELD_4349,1,HARDERSFIELD,4349,Sauza Blue Silver,750mL,7,15.99,2024-12-31
1_HARDERSFIELD_4351,1,HARDERSFIELD,4351,Capt Morgan Black Spiced Rum,750mL,3,22.99,2024-12-31
1_HARDERSFIELD_4355,1,HARDERSFIELD,4355,Sea Hagg Spiced Rum,750mL,0,25.49,2024-12-31
1_HARDERSFIELD_4359,1,HARDERSFIELD,4359,Mr Boston Light Rum,1.75L,29,9.99,2024-12-31
1_HARDERSFIELD_4363,1,HARDERSFIELD,4363,Capt Morgan Black Spiced Rum,1.75L,10,32.99,2024-12-31
1_HARDERSFIELD_4365,1,HARDERSFIELD,4365,Calypso Silver Rum,50mL,63,0.99,2024-12-31
1_HARDERSFIELD_4366,1,HARDERSFIELD,4366,Kraken Black Rum 70 Proof,750mL,10,17.99,2024-12-31
1_HARDERSFIELD_4368,1,HARDERSFIELD,4368,Capt Morgan Private Stock,1.75L,13,34.99,2024-12-31
1_HARDERSFIELD_4370,1,HARDERSFIELD,4370,Ron Virgin White,1.75L,18,10.99,2024-12-31
1_HARDERSFIELD_4380,1,HARDERSFIELD,4380,Ron Virgin Heavy Bodied Rum,1.75L,33,13.99,2024-12-31
1_HARDERSFIELD_4382,1,HARDERSFIELD,4382,Admiral Nelson Spiced Rum,1.75L,12,13.99,2024-12-31
1_HARDERSFIELD_4385,1,HARDERSFIELD,4385,Parrot Bay 90 Coconut Capt,1.75L,7,24.99,2024-12-31
1_HARDERSFIELD_4386,1,HARDERSFIELD,4386,Casa Noble Reposado,750mL,7,44.99,2024-12-31
1_HARDERSFIELD_4390,1,HARDERSFIELD,4390,Ron Zacapa 23 Yr Old Rum,750mL,6,42.99,2024-12-31
1_HARDERSFIELD_4402,1,HARDERSFIELD,4402,Don Q Gran Anejo Rum VAP,750mL,12,54.99,2024-12-31
1_HARDERSFIELD_4404,1,HARDERSFIELD,4404,Bacardi Gold Rum,375mL,22,5.49,2024-12-31
1_HARDERSFIELD_4410,1,HARDERSFIELD,4410,Cruzan Mango Flavored Rum,750mL,9,9.99,2024-12-31
1_HARDERSFIELD_4412,1,HARDERSFIELD,4412,Pusser's British Navy Rum,750mL,4,17.99,2024-12-31
1_HARDERSFIELD_4413,1,HARDERSFIELD,4413,Casamigos Blanco,50mL,47,1.99,2024-12-31
1_HARDERSFIELD_4414,1,HARDERSFIELD,4414,Cruzan Pineapple Rum,750mL,11,9.99,2024-12-31
1_HARDERSFIELD_4416,1,HARDERSFIELD,4416,Cruzan Coconut Flavored Rum,750mL,15,9.99,2024-12-31
1_HARDERSFIELD_4418,1,HARDERSFIELD,4418,Don Q Single Barrel Rum,750mL,1,37.99,2024-12-31
1_HARDERSFIELD_4429,1,HARDERSFIELD,4429,Capt Morgan Silver Spicd Rum,1.75L,23,21.99,2024-12-31
1_HARDERSFIELD_4431,1,HARDERSFIELD,4431,Screech Rum,750mL,10,14.99,2024-12-31
1_HARDERSFIELD_4437,1,HARDERSFIELD,4437,Mount Gay Eclipse,1.75L,12,31.99,2024-12-31
1_HARDERSFIELD_4438,1,HARDERSFIELD,4438,Cruzan Black Cherry Rum,750mL,21,9.99,2024-12-31
1_HARDERSFIELD_4447,1,HARDERSFIELD,4447,Patron XO Cafe Dark Cocoa,750mL,30,25.99,2024-12-31
1_HARDERSFIELD_4450,1,HARDERSFIELD,4450,Leblon Natural Cane Cachaca,750mL,4,28.99,2024-12-31
1_HARDERSFIELD_4478,1,HARDERSFIELD,4478,Myers Original Dark Rum,750mL,12,17.99,2024-12-31
1_HARDERSFIELD_4480,1,HARDERSFIELD,4480,Appleton Special Gold Rum,750mL,2,12.99,2024-12-31
1_HARDERSFIELD_4482,1,HARDERSFIELD,4482,Don Pancho Origenes Rsva Rum,750mL,6,34.99,2024-12-31
