VendorNumber,VendorName,BrandCount,CategoryCount,PurchaseQuantity,SalesQuantity,PurchaseCost,Revenue,GrossProfit,AllocatedFreight,AdjustedProfit,ExciseTax,InventoryAtRisk,UnsoldQuantity,PurchaseLineCount,InvoiceCount,AvgLeadDaysWeightedSum,AvgLeadDaysWeight,GrossMarginPct,AdjustedMarginPct,StockTurnover,SalesToPurchaseRatio,AvgLeadDays,RevenueSharePct,CostSharePct,PerformanceScore,PerformanceRank,PerformanceTier
17035,PERNOD RICARD USA,254,2,1647558.0,1613460.0,24124091.56,32281247.95,8157156.389999999,123780.21999999999,8033376.169999999,1498865.94,723100.01,45659.0,107612.0,55.0,813649.0,107612.0,25.269024303628257,24.885581196993346,0.9793039152491142,1.3381332047141343,7.560950451622496,7.140874474617824,7.494263494614685,73.52713178294574,21,Stable
653,STATE WINE & SPIRITS,239,2,154092.0,157700.0,1529682.04,2299075.4,769393.36,8014.98,761378.38,29511.52,107262.42,9389.0,11406.0,55.0,88444.0,11406.0,33.46533828338122,33.116720747827586,1.0234145834955741,1.5029760040851365,7.754164474837805,0.5085741686477075,0.4752029829694329,73.25581395348837,22,Stable
1128,BROWN-FORMAN CORP,135,2,1006122.0,983853.0,13529433.08,18478557.47,4949124.39,68601.68,4880522.71,766237.86,444455.02999999997,34615.0,59525.0,55.0,449260.0,59525.0,26.783066795310834,26.411816603777353,0.977866501279169,1.3658042699007162,7.547417051658967,4.087607132464701,4.202982573751942,72.55813953488372,23,Stable
2242,DELICATO VINEYARDS INC,93,1,192642.0,190364.0,1561444.6300000001,2357727.88,796283.2499999999,7982.649999999999,788300.5999999999,38632.03,58059.14,7116.0,28000.0,55.0,215002.0,28000.0,33.7733313820762,33.43475753444455,0.9881749566553504,1.5099657296205244,7.678642857142857,0.521548574034815,0.48507018224362664,72.13178294573643,24,Stable
9552,M S WALKER INC,898,2,1372841.0,1343481.0,10935817.3,15465247.75,4529430.45,55551.82,4473878.63,943256.01,850048.16,73040.0,112792.0,55.0,891677.0,112792.0,29.28779753948656,28.928593335984548,0.9786136923358204,1.4141830761931253,7.905498616923186,3.421038525916584,3.397263526849495,72.09302325581395,25,Stable
660,SAZERAC NORTH AMERICA INC.,81,2,503931.0,493413.0,3537977.55,4965061.47,1427083.9200000002,17932.33,1409151.59,717697.33,48579.5,12626.0,54331.0,55.0,407836.0,54331.0,28.74252269831415,28.3813523460768,0.9791280949177567,1.4033614967398536,7.5065064143858935,1.0983119602732536,1.099089511071782,71.86046511627907,26,Stable
9206,PHILLIPS PRODUCTS CO.,28,1,40054.0,43680.0,430945.89,600363.7,169417.80999999997,2211.83,167205.97999999995,50778.090000000004,33836.880000000005,1478.0,4981.0,55.0,34929.0,4981.0,28.219196130612158,27.85078111817886,1.0905277874868926,1.3931301212781029,7.012447299739009,0.13280533105341463,0.13387538525745987,71.51162790697676,27,Stable
2555,DISARONNO INTERNATIONAL LLC,12,1,103095.0,103394.0,1141947.85,1725427.16,583479.3099999999,5861.03,577618.28,68878.53,23465.11,2891.0,6842.0,55.0,52948.0,6842.0,33.81651358727888,33.47682784824136,1.0029002376448906,1.5109509247729656,7.738672902660041,0.38167851452769885,0.3547515173254768,71.3953488372093,28,Stable
11567,CAMPARI AMERICA,70,1,501284.0,490456.0,4141720.71,5610527.4399999995,1468806.7299999997,20964.81,1447841.92,305737.58,127512.01,19682.0,28622.0,55.0,210307.0,28622.0,26.1794768086902,25.805807662175877,0.9783994701606276,1.3546368364369985,7.347739501083083,1.2410942801063205,1.286645188053772,69.49612403100775,29,Stable
8352,LUXCO INC,66,2,283260.0,286953.0,2051436.01,2826287.77,774851.76,10261.6,764590.16,249501.71,114086.2,19328.0,26420.0,55.0,201997.0,26420.0,27.415883415155562,27.05280644511298,1.0130374920567677,1.3777118838817692,7.64560938682816,0.6251978308266589,0.6372883290980598,69.26356589147287,30,Stable
8004,SAZERAC CO INC,144,2,1417727.0,1385046.0,9916770.26,13250928.19,3334157.9299999997,50293.62,3283864.3099999996,1116657.91,327182.94,44499.0,92210.0,55.0,694620.0,92210.0,25.161693446623378,24.782145544175645,0.9769483123337568,1.3362140941641618,7.5330224487582695,2.9312130380933663,3.0806917292266562,69.22480620155038,31,Stable
10754,PERFECTA WINES,853,2,553116.0,512750.0,5665501.53,7825504.16,2160002.63,28720.52,2131282.11,70027.18000000001,915643.81,62138.0,34503.0,55.0,250773.0,34503.0,27.602089090193516,27.235077337176953,0.9270207334447024,1.3812553255104318,7.268150595600383,1.7310651370638723,1.7600149290331515,68.87596899224808,32,Stable
12546,JIM BEAM BRANDS COMPANY,389,2,2737165.0,2630226.0,24203151.05,31906320.54,7703169.49,123880.97,7579288.52,2249059.55,1136390.67,129843.0,189832.0,55.0,1426202.0,189832.0,24.14308312468298,23.754818455164934,0.9609307440362564,1.3182713471517171,7.512969362383581,7.057937483580476,7.518823700263725,68.68217054263566,33,Stable
1587,VINEYARD BRANDS INC,79,1,172290.0,166348.0,1207114.32,1849561.49,642447.17,6070.089999999999,636377.08,18449.35,60988.66,7321.0,12074.0,58.0,90289.0,12074.0,34.735107401052126,34.40691663622386,0.9655116373556213,1.5322173379568556,7.47796918999503,0.4091380374647849,0.3749957903991072,68.33333333333333,34,Stable
90024,VINILANDIA USA,187,1,59428.0,57335.0,548855.37,826960.05,278104.68,2802.64,275302.04,6555.43,64186.28,5935.0,4537.0,55.0,32866.0,4537.0,33.62975998659185,33.2908512327772,0.9647809113549168,1.5066993878551285,7.243993828521049,0.18293028577210504,0.1705045246153193,67.36434108527132,35,Stable
7749,R.P.IMPORTS INC,59,1,498.0,1038.0,18776.87,54266.62,35489.75,91.5,35398.25,115.7,399.91999999999996,23.0,73.0,16.0,577.0,73.0,65.39885845110678,65.230246512497,2.0843373493975905,2.8900780588031982,7.904109589041096,0.012004217500574822,0.005833123748272063,66.93798449612403,36,Stable
90027,POVERTY LANE ORCHARDS,8,1,5872.0,6341.0,45269.009999999995,73642.09,28373.08,229.88,28143.2,704.22,286.46999999999997,27.0,470.0,47.0,3558.0,470.0,38.528347036321215,38.21618859540787,1.0798705722070845,1.6267660812551457,7.5702127659574465,0.01629022897606127,0.014063032725463056,66.24031007751937,37,Stable
1485,CASTLE BRANDS CORP.,26,1,105220.0,103675.0,1679383.91,2307511.25,628127.34,8497.59,619629.75,110409.90000000001,68572.54,3249.0,11714.0,55.0,87545.0,11714.0,27.220987113280593,26.85272932038793,0.9853164797567002,1.3740224830426058,7.473535939900973,0.510440247246342,0.5217085791128656,66.04651162790698,38,Stable
3924,HEAVEN HILL DISTILLERIES,63,2,352348.0,342611.0,2816661.94,3818178.29,1001516.35,14069.87,987446.48,349975.34,132835.26,15193.0,31711.0,55.0,234061.0,31711.0,26.23021435701474,25.861717421267933,0.9723653887633816,1.3555685315931099,7.381066506890353,0.8446120773531289,0.875009394700398,65.81395348837209,39,Stable
2561,EDRINGTON AMERICAS,31,1,62542.0,60304.0,1882832.84,2632023.96,749191.12,9654.5,739536.62,74517.89,142466.87,3554.0,7081.0,54.0,51920.0,7081.0,28.464449085030363,28.097640114188017,0.9642160468165393,1.3979063377713339,7.332297698065245,0.5822250968010214,0.5849109544365241,65.3875968992248,40,Stable
